,city_name,Year,Pop.,±%
0,New York City,1698,4937,—
1,New York City,1712,5840,+18.3%
2,New York City,1723,7248,+24.1%
3,New York City,1737,10664,+47.1%
4,New York City,1746,11717,+9.9%
5,New York City,1756,13046,+11.3%
6,New York City,1771,21863,+67.6%
7,New York City,1790,49401,+126.0%
8,New York City,1800,79216,+60.4%
9,New York City,1810,119734,+51.1%
10,New York City,1820,152056,+27.0%
11,New York City,1830,242278,+59.3%
12,New York City,1840,391114,+61.4%
13,New York City,1850,696115,+78.0%
14,New York City,1860,1174779,+68.8%
15,New York City,1870,1478103,+25.8%
16,New York City,1880,1911698,+29.3%
17,New York City,1890,2507414,+31.2%
18,New York City,1900,3437202,+37.1%
19,New York City,1910,4766883,+38.7%
20,New York City,1920,5620048,+17.9%
21,New York City,1930,6930446,+23.3%
22,New York City,1940,7454995,+7.6%
23,New York City,1950,7891957,+5.9%
24,New York City,1960,7781984,−1.4%
25,New York City,1970,7894862,+1.5%
26,New York City,1980,7071639,−10.4%
27,New York City,1990,7322564,+3.5%
28,New York City,2000,8008278,+9.4%
29,New York City,2010,8175133,+2.1%
30,Los Angeles,1850,1610,—
31,Los Angeles,1860,4385,172.4%
32,Los Angeles,1870,5728,30.6%
33,Los Angeles,1880,11183,95.2%
34,Los Angeles,1890,50395,350.6%
35,Los Angeles,1900,102479,103.4%
36,Los Angeles,1910,319198,211.5%
37,Los Angeles,1920,576673,80.7%
38,Los Angeles,1930,1238048,114.7%
39,Los Angeles,1940,1504277,21.5%
40,Los Angeles,1950,1970358,31.0%
41,Los Angeles,1960,2479015,25.8%
42,Los Angeles,1970,2811801,13.4%
43,Los Angeles,1980,2968528,5.6%
44,Los Angeles,1990,3485398,17.4%
45,Los Angeles,2000,3694820,6.0%
46,Los Angeles,2010,3792621,2.6%
47,Chicago,1840,4470,—
48,Chicago,1850,29963,570.3%
49,Chicago,1860,112172,274.4%
50,Chicago,1870,298977,166.5%
51,Chicago,1880,503185,68.3%
52,Chicago,1890,1099850,118.6%
53,Chicago,1900,1698575,54.4%
54,Chicago,1910,2185283,28.7%
55,Chicago,1920,2701705,23.6%
56,Chicago,1930,3376438,25.0%
57,Chicago,1940,3396808,0.6%
58,Chicago,1950,3620962,6.6%
59,Chicago,1960,3550404,−1.9%
60,Chicago,1970,3366957,−5.2%
61,Chicago,1980,3005072,−10.7%
62,Chicago,1990,2783726,−7.4%
63,Chicago,2000,2896016,4.0%
64,Chicago,2010,2695598,−6.9%
65,Houston,1850,2396,—
66,Houston,1860,4845,102.2%
67,Houston,1870,9382,93.6%
68,Houston,1880,16513,76.0%
69,Houston,1890,27557,66.9%
70,Houston,1900,44633,62.0%
71,Houston,1910,78800,76.6%
72,Houston,1920,138276,75.5%
73,Houston,1930,292352,111.4%
74,Houston,1940,384514,31.5%
75,Houston,1950,596163,55.0%
76,Houston,1960,938219,57.4%
77,Houston,1970,1232802,31.4%
78,Houston,1980,1595138,29.4%
79,Houston,1990,1630553,2.2%
80,Houston,2000,1953631,19.8%
81,Houston,2010,2100263,7.5%
82,Phoenix,1870,240,—
83,Phoenix,1880,1708,611.7%
84,Phoenix,1890,3152,84.5%
85,Phoenix,1900,5544,75.9%
86,Phoenix,1910,11314,104.1%
87,Phoenix,1920,29053,156.8%
88,Phoenix,1930,48118,65.6%
89,Phoenix,1940,65414,35.9%
90,Phoenix,1950,106818,63.3%
91,Phoenix,1960,439170,311.1%
92,Phoenix,1970,581572,32.4%
93,Phoenix,1980,789704,35.8%
94,Phoenix,1990,983403,24.5%
95,Phoenix,2000,1321045,34.3%
96,Phoenix,2010,1445632,9.4%
97,Philadelphia,1683,600,—
98,Philadelphia,1731,12000,+1900.0%
99,Philadelphia,1790,28522,+137.7%
100,Philadelphia,1800,41220,+44.5%
101,Philadelphia,1810,53722,+30.3%
102,Philadelphia,1820,63802,+18.8%
103,Philadelphia,1830,80462,+26.1%
104,Philadelphia,1840,93665,+16.4%
105,Philadelphia,1850,121376,+29.6%
106,Philadelphia,1860,565529,+365.9%
107,Philadelphia,1870,674022,+19.2%
108,Philadelphia,1880,847170,+25.7%
109,Philadelphia,1890,1046964,+23.6%
110,Philadelphia,1900,1293697,+23.6%
111,Philadelphia,1910,1549008,+19.7%
112,Philadelphia,1920,1823779,+17.7%
113,Philadelphia,1930,1950961,+7.0%
114,Philadelphia,1940,1931334,−1.0%
115,Philadelphia,1950,2071605,+7.3%
116,Philadelphia,1960,2002512,−3.3%
117,Philadelphia,1970,1948609,−2.7%
118,Philadelphia,1980,1688210,−13.4%
119,Philadelphia,1990,1585577,−6.1%
120,Philadelphia,2000,1517550,−4.3%
121,Philadelphia,2010,1526006,+0.6%
122,San Antonio,1850,3488,—
123,San Antonio,1860,8235,136.1%
124,San Antonio,1870,12256,48.8%
125,San Antonio,1880,20550,67.7%
126,San Antonio,1890,37673,83.3%
127,San Antonio,1900,53321,41.5%
128,San Antonio,1910,96614,81.2%
129,San Antonio,1920,161379,67.0%
130,San Antonio,1930,231542,43.5%
131,San Antonio,1940,253854,9.6%
132,San Antonio,1950,408442,60.9%
133,San Antonio,1960,587718,43.9%
134,San Antonio,1970,654153,11.3%
135,San Antonio,1980,785940,20.1%
